1,H24S,002,Pcs,H24 Nozzle dia. 0.2 2AGKNX005100 (for 03015 parts),8000 ,Spare Nozzle for H24 Placing Head : ,
2,H24S,003,Pcs,H24 Nozzle dia. 0.3 2AGKNX005200,8000 ,Spare Nozzle for H24 Placing Head : ,
3,H24S,0035,Pcs,H24 Nozzle dia. 0.35 2AGKNX005300,8000 ,Spare Nozzle for H24 Placing Head : ,
4,H24S,004,Pcs,H24 Nozzle dia. 0.4 2AGKNX005400,8000 ,Spare Nozzle for H24 Placing Head : ,
5,H24S,005,Pcs,H24 Nozzle dia. 0.5 2AGKNX005500,8000 ,Spare Nozzle for H24 Placing Head : ,
6,H24S,007,Pcs,H24 Nozzle dia. 0.7 2AGKNX003100,8000 ,Spare Nozzle for H24 Placing Head : ,
7,H24S,008,Pcs,H24 Nozzle dia. 0.8 2AGKNX006300,8000 ,Spare Nozzle for H24 Placing Head : ,
8,H24S,010,Pcs,H24 Nozzle dia. 1.0 2AGKNX003500,8000 ,Spare Nozzle for H24 Placing Head : ,
9,H24S,013,Pcs,H24 Nozzle dia. 1.3 2AGKNX001700,8000 ,Spare Nozzle for H24 Placing Head : ,
10,H24S,018,Pcs,H24 Nozzle dia. 1.8 2AGKNX003700,8000 ,Spare Nozzle for H24 Placing Head : ,
11,H24S,025,Pcs,H24 Nozzle dia. 2.5 2AGKNX003900,8000 ,Spare Nozzle for H24 Placing Head : ,
12,H24S,013M,Pcs,H24 Nozzle dia. 1.3M  2AGKNX004000,16000 ,Spare Nozzle for H24 Placing Head : ,
13,H24S,018M,Pcs,H24 Nozzle dia. 1.8M  2AGKNX004100,16000 ,Spare Nozzle for H24 Placing Head : ,
14,H24S,025M,Pcs,H24 Nozzle dia. 2.5M  2AGKNX004200,16000 ,Spare Nozzle for H24 Placing Head : ,
15,H24S,025G,Pcs,H24 Nozzle dia. 2.5 with rubber pad 2AGKNX001400,11200 ,Spare Nozzle for H24 Placing Head : ,
16,H24S,006WRS,Pcs,H24 Placing head wide-range nozzle S (0603-1005) 2AGKNX007500,8000 ,Spare Nozzle for H24 Placing Head : ,
17,H24S,011WRM,Pcs,H24 Placing head wide-range nozzle M (1005-1608) 2AGKNX007600,8000 ,Spare Nozzle for H24 Placing Head : ,
18,H24S,018WRL,Pcs,H24 Placing head Wide range nozzle L (1608-2125)  2AGKNX007700,8000 ,Spare Nozzle for H24 Placing Head : ,
19,H24S,DUMMY,Pcs,"Dummy Nozzle *For 12 nozzle operation,12pcs of standard nozzle (dia1.3 or smaller) or dummy nozzles are required 2AGKNX004900",6400 ,Spare Nozzle for H24 Placing Head : ,
20,H24S,,Set,Nozzle Storage Box 2AGKHJ021201,3700 ,Spare Nozzle for H24 Placing Head : , (H24 Nozzle/280 nozzles can be stored.)
21,R12/H08/H12HS/V12,003,Pcs,R12/H08/H12HS/V12 Nozzle for 0.3 0402 (01005) AA1AT00 ,12200 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
22,R12/H08/H12HS/V12,0035,Pcs,R12/H08/H12HS/V12 Nozzle dia. 0.35 2AGKNG004900,16000 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
23,R12/H08/H12HS/V12,004,Pcs,R12/H08/H12HS/V12 Nozzle dia. 0.4  AA05600,11200 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
24,R12/H08/H12HS/V12,005,Pcs,R12/H08/H12HS/V12 Nozzle dia.0.5 2AGKNG004100,11200 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
25,R12/H08/H12HS/V12,005C,Pcs,R12/H08/H12HS/V12 Nozzle dia.0.5C 2AGKNG014900,9600 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
26,R12/H08/H12HS/V12,005CS,Pcs,R12/H08/H12HS/V12 Nozzle dia.0.5CS 2AGKNG020800,9600 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
27,R12/H08/H12HS/V12,007,Pcs,R12/H08/H12HS/V12 Nozzle dia. 0.7  AA05700,9600 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
28,R12/H08/H12HS/V12,008,Pcs,R12/H08/H12HS/V12 Nozzle dia. 0.8 2AGKNG009700,9600 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
29,R12/H08/H12HS/V12,010,Pcs,R12/H08/H12HS/V12 Nozzle dia. 1.0  AA05800,9600 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
30,R12/H08/H12HS/V12,010F,Pcs,R12/H08/H12HS/V12 Nozzle dia. 1.0F 2AGKNG006300->AA05814 ,10100 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
31,R12/H08/H12HS/V12,013,Pcs,R12/H08/H12HS/V12 Nozzle dia. 1.3  AA20A00,9600 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
32,R12/H08/H12HS/V12,018,Pcs,R12/H08/H12HS/V12 Nozzle dia. 1.8  AA20B00,9600 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
33,R12/H08/H12HS/V12,025,Pcs,R12/H08/H12HS/V12 Nozzle dia. 2.5  AA20C00,9600 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
34,R12/H08/H12HS/V12,037,Pcs,R12/H08/H12HS/V12 Nozzle dia. 3.7  AA20D00,9600 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
35,R12/H08/H12HS/V12,050,Pcs,R12/H08/H12HS/V12 Nozzle dia. 5.0  AA20E00,9600 ,Spare Nozzle for R12/H08/H12HS/V12 Placing Head : ,
